id,title,authors
2,"Concept Drifts, Detector Evolves: Malware Detection Made Easy with LLMalware","Zijing Ma, Leming Shen, Xinyu Huang, Kai Zhou, Yuanqing Zheng (The Hong Kong Polytechnic University)"
8,Sentinel: An Isolation Framework for Security Services on TrustZone,"Nian Liu, Kun Lu, Fengwei Zhang (Southern University of Science and Technology)"
16,STINER: Automated Extraction of Strategic Cyber Threat Intelligence from X,"Yasir Ech-chammakhy (Mohammed VI Polytechnic University, College of Computing); Oussama Azrara, Jaafar Chbili (Deloitte Conseil); Anas Motii (Mohammad VI Polytechnic University, College of Computing)"
19,CoT-GraphPoison: A Novel Poisoning Attack Targeting Chain-of-Reasoning in GraphRAG,Zeming Fei (University of Technology Sydney); Hongming Fei (National University of Singapore); Xiaoyang Wang (University of New South Wales); Prosanta Gope (University of Sheffield); Biplab Sikdar (National University of Singapore); Ying Zhang (University of Technology Sydney)
26,VersaPSE: Versatile Password Strength Evaluation Using Continual Learning,"Yifei Zhang, Zhenduo Hou, Ding Wang (Nankai University)"
36,DYNASHIELD: A Black-Box Moving Target Defense for LLMs via Dynamic Decoding Customization,"Xiaoqun Liu, Weiming Qi, Qiben Yan (Michigan State University)"
55,vSECvma: A Formally Verified Linux Kernel Protection Framework,"Teh Beng Yen, Shih-Wei Li (National Taiwan University)"
56,Supply Chain Insecurity: Exposing Vulnerabilities in iOS Dependency Management Systems,"David Schmidt (University of Vienna); Gabriel Karl Gegenhuber (Interdisciplinary Transformation University (IT:U)); Edgar Weippl, Sebastian Schrittwieser (University of Vienna)"
63,Lightweight Detection of Electromagnetic Signal Injection Attacks on Image Sensors,"Youqian Zhang (The Hong Kong Polytechnic University); Chunxi Yang, Eugene Yujun Fu (The Education University of Hong Kong); Sze Yiu Chau (Simon Fraser University); Haibo Hu (Hong Kong Polytechnic University); Xiapu Luo (The Hong Kong Polytechnic University)"
84,Hidden Threats in a Single Round: Backdoor Attack on One-Shot Federated Learning,"Mu Sheng, Runchao Li, Haotian Yu (CASE WESTERN RESERVE UNIVERSITY); Jing Ma (Case Western Reserve University)"
90,Sometimes Less is More: A Minimalist Approach to Neighborhood-level Provenance-based Intrusion Detection,"Cheng Zhou, Guangxia Li, Zhiwei Zhang, Anyuan Sang, Jiatong Li, Yulong Shen (Xidian University)"
91,Smoke and Mirrors: Systematic OT Malware Elicitation,"Ed Chapman (Alan Turing Institute); Matthew Rodda (Defence Science and Technology Group); Helen Little, Tim Hobson, James Bishop (Alan Turing Institute); Vasilios Mavroudis (Alan Turing Institute, King's College London)"
94,AndroTruth: A Reliable Benchmark Android Malware Dataset Derived from Technical Expert Reports,"Hongpeng Bai (Tianjin University); Yao Zhang (College of Intelligence and Computing, Tianjin University, China); Minhong Dong (School of Cybersecurity, Tianjin University); Shunzhe Zhao, Haobo Zhang (School of Cyber Science and Technology, Shihezi University); Lingyue Li (School of Cyber Security, Tianjin University); Yude Bai (Tiangong University); Shuai Hu (State Grid Xinjiang Electric Power Research Institute); Guangquan Xu (School of Cybersecurity, Tianjin University)"
95,Cherry-Picking Bits: Enabling Key Reconstruction on Resource-Constrained Devices using SRAM PUFs,"Manuel Penz, Michael Kargl, Martina Zeinzinger, Florian Eibensteiner, Phillip Kastner, Josef Langer (Embedded Systems Lab - University of Applied Sciences Upper Austria)"
126,Caught on Camera: Toward Evaluating and Defending On-screen Deepfakes With Mobile and Wearable Camera Devices,"Shuhao Zhang, Pai Zheng (The Hong Kong University of Science and Technology (Guangzhou)); Yuanzhe Yang (National University of Singapore); Qinhong Jiang (The Hong Kong Polytechnic University); Yan Long (The Hong Kong University of Science and Technology (Guangzhou))"
131,Firefly: High-Performance Transient Execution Attack Defenses for In-Kernel Sandboxes,"Luis Gerhorst (Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU)); Henriette Herzog, Benedict Herzog (Ruhr-Universität Bochum (RUB)); Peter Wägemann, Rüdiger Kapitza (Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU)); Timo Hönig (Ruhr-Universität Bochum (RUB))"
139,Democratizing False Positives Filtering Through Learning Assisted Reasoning,"Mingjie Shen, Sai Ritvik Tanksalkar (Purdue University); Christophe Hauser (Dartmouth College); Aravind Machiry (Purdue University)"
174,Patronus: Real-Time Authentication of Industrial Control Systems Communication via Process-Aware Certificates,"Yining Qi (Zhejiang University); Yunfan Li (National University of Singapore); Tong Wu (Zhejiang University); Zhenyong Zhang (Guizhou University); Zeyu Yang (Singapore University of Technology and Design); Xin Che (Zhejiang University); Jialin Li (National University of Singapore); Jiming Chen, Peng Cheng (Zhejiang University)"
216,Function Name Recovery via Self-Transformative and Variable-Enrichment Approaches,"Jun Yeon Won, Xin Jin, Linxi Jiang, Zhiqiang Lin (The Ohio State University)"
222,CANdy: Backward-Compatible CAN Message Authentication via Sub-Bit Injection on Commercial Controllers,"Yu-Wei Liu, Jan de Voor, Caden Allen, Siddharth Thumsi, Mert D. Pesé (Clemson University)"
224,Phishing the Phishers with SpecularNet: Hierarchical Graph Autoencoding for Reference-Free Web Phishing Detection,Tailai Song (Politecnico di Torino); Pedro Casas (AIT Austrian Institute of Technology); Michela Meo (Politecnico di Torino)
249,Release-Time Safety Is Not Deployment-Time Safety in Agentic LLMs,Hongming Fei (National University of Singapore); Zeming Fei (University of Technology Sydney); Yang Yang (National University of Singapore); Prosanta Gope (University of Sheffield); Xiaoyang Wang (University of New South Wales); Ying Zhang (University of Technology Sydney); Biplab Sikdar (National University of Singapore)
266,"Where Patches Stall: Ecosystem-Level Constraint Policies, Not Upstream Health, Covary with Supply Chain Propagation","Yuma Kurogome (Ricerca Security, Inc.)"
281,mono: Is Source Code Enough for Verification? Stratifying Patch-Mined Vulnerability Fixes by Context Sufficiency,"Zeyu Gao (Tsinghua University); Junlin Zhou (Sichuan University); Yi He (Wuhan University); Bolun Zhang (Institute of Information Engineering, Chinese Academy of Sciences); Jialai Wang (National University of Singapore); Jiutian Zeng (Alibaba Group); Chao Zhang (Tsinghua University)"
285,Effective Handling of Erroneous Executions of Automation Rules on Multiple Platform Smart Home IoT Systems,"ZhuoYi Shi (Stevens institute of Technology); Chenglong Fu (University of North Carolina at Charlotte); Xiaojiang Du, Rong Xu (Stevens Institute of Technology)"
286,"aiXamine: Unified Black-Box Evaluation of Cross-Dimensional Trade-offs in LLM Safety, Security, and Privacy","Fatih Deniz, Yazan Boshmaf, Dorde Popovic, Issa Khalil (Qatar Computing Research Institute (QCRI), HBKU)"
287,Unveiling Operator-Induced Vulnerabilities in OCPP: From Deployment Misconfigurations to Message-Processing Exploits,"Jiawei Dong (Concordia University); Ribal Atallah, Danial Jafarigiv (Hydro-Quebec Research Institute); Mohsen Ghafouri, Chadi Assi (Concordia University)"
309,"Small, Free, and Effective: Orchestrating Open-Weight Small Language Models to Outperform Single LLM for Malware Analysis","Adel ElZemity, Shujun Li, Budi Arief (University of Kent)"
315,Vulnerability Evolution and the Promise of Automated Gatekeeping in Open-Source Software,"Seyed Ali Akhavani (Northeastern University); Behzad Ousat, Selcuk Uluagac, Amin Kharraz (Florida International University)"
319,Too Private to Tell: Practical Token Theft Attacks on Apple Intelligence,"Haoling Zhou, Shixuan Zhao, Chao Wang, Zhiqiang Lin (The Ohio State University)"
335,Backdooring Acoustic Foundation Models for Physically Realizable Triggers,"Zebin Yun, Eyal Ronen (Tel Aviv University); Mahmood Sharif (Tel Aviv university)"
352,Prism: A Multi-Team Orchestration of LLM Agents for Automatic Program Repair,"Yunjae Choi (Samsung Electronics); Min Woo Baek, Insu Yun (KAIST)"
360,Adversarial Python Package Generation via Piggybacking with Large Language Models,Pei Liu (Chongqing University); Jiawei Wang (Singapore University of Social Sciences); Hongyu Zhang (Chongqing University)
368,CARIS: Layer-to-Neuron Local Repair for Deep Neural Networks,"Jia Wang, Liming Bao, Tao Sun, Jing Tian, Chen Chen (College of Computer Science, Inner Mongolia University, Hohhot, China)"
391,UDPU: Unlabeled Data Purification and Unlearning for Backdoor Defense,"Liqun Shan (University of Louisiana at Lafayette); Yazhou Tu (Auburn University); Kaiying Han, Sheng Chen (University of Louisiana at Lafayette); Chenglong Fu (University of North Carolina at Charlotte); Xiali (Sharon) Hei (University of Louisiana at Lafayette)"
405,Effective and Efficient Threat Hunting with Small Language Models,"Saleha Muzammil, Rahul Reddy, Vishal Kamalakrishnan (University of Virginia); Hadi Ahmadi (Corvic); Wajih Ul Hassan (University of Virginia)"
410,A Covert Channel via Scheduler-Driven Core Migration on Hybrid CPUs,Yanxiang Bi (The Chinese University of Hong Kong); Junpeng Wan (Purdue University); Sze Yiu Chau (Simon Fraser University)
421,ObfuscationGT: A Comprehensive Evaluation of Disassembler Accuracy and Coverage on Obfuscated Code,"Caroline König, Patrick Felbauer, Michael Pucher, David Schmidt (University of Vienna); Patrick Kochberger (St. Pölten University of Applied Sciences); Pascal Lun, Sebastian Schrittwieser (University of Vienna)"
436,VR-Themis: A Scalable Framework for Virtual Reality Application Clone Detection,"Gengyang Xu (Department of Computer Science, Hong Kong Baptist University); Hanyang Guo (School of Software Engineering, Sun Yat-Sen University); Hong-Ning Dai (Department of Computer Science, Hong Kong Baptist University); Weizhi Meng (Lancaster University)"
453,Focus on What Matters: Fisher-Guided Adaptive Multimodal Fusion for Vulnerability Detection,"Yun Bian, Yi Chen, Haiquan Wang, Shihao Li, Zhe Cui (Chengdu Institute of Computer Applications, University of Chinese Academy of Sciences)"
473,Clouding the Mirror: Stealthy Prompt Injection Attacks Targeting LLM-based Phishing Detection,"Takashi Koide, Hiroki Nakano (NTT Security Holdings Corporation & NTT, Inc.); Daiki Chiba (Tokyo Metropolitan University)"
479,DEFFSM: Deployable and Explainable Fuzzy Finite State Machine for Anomaly Detection of Time-Series Data,Yuhuan LIU (Southern University of Science and Technology & Hong Kong Polytechnic University); Gaoxin Lin (Southern University of Science and Technology); Bowen Cui (The Hong Kong Polytechnic University); Fengwei Zhang (Southern University of Science and Technology); Yulong Ding (Nanfang College Guangzhou); Bin Xiao (The Hong Kong Polytechnic University); Shuang-hua Yang (Nanfang College Guangzhou & Beijing Normal-Hong Kong Baptist University)
494,Understanding the Impact of AI Code Assistants on Security API Usage: An Empirical Study,"Zahra Mousavi (Adelaide University and CSIRO, Australia); Chadni Islam (Edith Cowan University, Australia); M. Ali Babar (Adelaide University, Australia); Alsharif Abuadbba, Kristen Moore (CSIRO, Australia)"
513,"Merge Now, Regret Later: The Hidden Cost of Model Merging Is Adversarial Transferability","Aaryan Ajay Sharma (University of Twente); Ankit Gangwal (IIIT Hyderabad, India); Mauro Conti (University of Padova)"
516,How ViT Backdoors Affect Post-Hoc Explanations and What this Means for XAI-based Defenses,"Nicolai Neuer, Maximilian Noppel (Karlsruhe Institute of Technology); Christian Wressnegger (Karlsruhe Institute of Technology (KIT))"
557,"Grounded in Knowledge, Guided by Reason: Automated Fake Cyber Threat Intelligence Detection via Knowledge-Augmented LLM Rationales","Lingjia Guo, Ziyi Yan, Zhengwei Jiang, Chunyan Ma, Fangming Dong, Zhao Tong, Xixun Lin (Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China.)"
